"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"01"	"M"	"293"	1	"Con2"	"LOB"	"NSOC"	"D2a"	8123	5164	0.738454545454545	2100	6075	8175	5307	6182	1541	7723	0.950757109442324	6182	1541	7723	0.950757109442324	0	1	0	4	3	7	4	3	7	0	0	0	0	NA	3	3	6	1317	783	2100	1	758	0	758	0.12477366255144	2075	783	2858	0.34960244648318	0	0	0	0	0	0	1	2	1	3	1	0	1	4	1	1	2	0	0	0	2	4366	766	5132	0.967024684379122	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"11_a"	"right"	"11_b"	"left"	3210	1567	4777	1567	3210	0.671969855557881	"left"	"novel"
"01"	"M"	"293"	2	"Con3"	"NLOB"	"SOC"	"D1b"	6879	4259	0.625363636363636	2165	5666	7831	4959	3903	2150	6053	0.879924407617386	3903	2150	6053	0.879924407617386	0	1	0	4	3	7	4	3	7	0	0	0	0	NA	1	3	4	1824	341	2165	1	475	133	608	0.107306741969643	2299	474	2773	0.354105478227557	0	0	0	0	0	0	1	1	1	2	1	1	2	4	0	1	1	0	1	1	2	2526	1316	3842	0.774752974389998	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"14_a"	"left"	"14_b"	"right"	1292	2483	3775	1292	2483	0.657748344370861	"left"	"familiar"
"01"	"M"	"293"	3	"Con4"	"NLOB"	"NSOC"	"D2b"	8414	4459	0.764909090909091	2340	5308	7648	5892	3582	1358	4940	0.58711671024483	3582	1358	4940	0.58711671024483	3063	0.617268524303386	0.364036130259092	4	1	5	4	1	5	3	0	3	3	1	1	1	2	533	741	1274	0.544444444444444	750	0	750	0.141296156744537	1283	741	2024	0.264644351464435	1066	0.455555555555556	408	0.0768651092690279	1474	0.192730125523013	0.578616352201258	1	1	2	1	0	1	3	0	1	1	0	0	0	1	2616	0	2616	0.443991853360489	3276	0.556008146639511	0.443991853360489	2	0	2	3	0.666666666666667	TRUE	TRUE	1	"3_a"	"right"	"3_b"	"left"	2117	1883	4000	1883	2117	0.52925	"left"	"novel"
"01"	"M"	"293"	4	"Con1"	"LOB"	"SOC"	"D1a"	8776	5631	0.797818181818182	2668	6383	9051	6385	1359	7018	8377	0.954535095715588	1359	7018	8377	0.954535095715588	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	1	1	2	0	2668	2668	1	1526	0	1526	0.239072536424879	1526	2668	4194	0.463374212794166	0	0	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	0	0	0	0	1834	4401	6235	0.976507439310885	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"7_a"	"left"	"7_b"	"right"	1634	3607	5241	1634	3607	0.688227437511925	"left"	"familiar"
"01"	"M"	"293"	5	"Con2"	"LOB"	"NSOC"	"D2a"	7792	5218	0.708363636363636	2476	5099	7575	5075	2517	3826	6343	0.814040041067762	2517	3826	6343	0.814040041067762	734	0.896283736046347	0.0941991786447639	3	1	4	3	1	4	0	0	0	1	0	1	0	1	0	2476	2476	1	891	0	891	0.174740145126495	891	2476	3367	0.444488448844884	0	0	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	0	0	0	0	2166	1676	3842	0.757044334975369	734	0.144630541871921	0.839597902097902	0	0	0	1	0	TRUE	TRUE	1	"9_a"	"left"	"9_b"	"right"	1701	2800	4501	1701	2800	0.622083981337481	"left"	"familiar"
"01"	"M"	"293"	6	"Con4"	"NLOB"	"NSOC"	"D2b"	7346	4776	0.667818181818182	2492	5040	7532	5150	2258	3968	6226	0.847536074053907	1583	3851	5434	0.73972229784917	636	0.895222405271829	0.0865777293765315	4	3	7	4	3	7	1	0	1	2	0.5	1	2	3	450	2042	2492	1	0	258	258	0.0511904761904762	450	2300	2750	0.365108868826341	0	0	900	0.178571428571429	900	0.119490175252257	0.753424657534247	1	1	2	0	1	1	3	0	1	1	0	0	0	1	1241	1534	2775	0.538834951456311	1475	0.286407766990291	0.652941176470588	1	0	1	2	0.5	TRUE	TRUE	1	"1_a"	"left"	"1_b"	"right"	2649	1613	4262	2649	1613	0.378460816518067	"left"	"familiar"
"01"	"M"	"293"	7	"Con1"	"LOB"	"SOC"	"D1a"	6118	5081	0.556181818181818	2475	4485	6960	2867	2783	2876	5659	0.92497548218372	2783	2876	5659	0.92497548218372	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	1	1	2	925	1550	2475	1	0	0	0	0	925	1550	2475	0.355603448275862	0	0	0	0	0	0	1	1	1	2	0	0	0	2	1	0	1	0	0	0	1	575	2200	2775	0.967910708057203	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"5_a"	"right"	"5_b"	"left"	3051	1275	4326	1275	3051	0.705270457697642	"left"	"novel"
"01"	"M"	"293"	8	"Con3"	"NLOB"	"SOC"	"D1b"	8841	6725	0.803727272727273	2465	6559	9024	5483	5308	2961	8269	0.935301436489085	5308	2961	8269	0.935301436489085	0	1	0	2	2	4	2	2	4	0	0	0	0	NA	1	1	2	2465	0	2465	1	0	826	826	0.125933831376734	2465	826	3291	0.36469414893617	0	0	0	0	0	0	1	1	0	1	0	1	1	2	0	0	0	0	0	0	0	2267	2983	5250	0.957505015502462	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"13_a"	"right"	"13_b"	"left"	5226	1033	6259	1033	5226	0.834957660968206	"left"	"novel"
"01"	"M"	"293"	9	"Con4"	"NLOB"	"NSOC"	"D2b"	5667	4277	0.515181818181818	1918	3525	5443	3510	1783	2360	4143	0.731074642668078	1633	2360	3993	0.704605611434622	1250	0.761586877741751	0.220575260278807	3	1	4	3	1	4	1	0	1	2	0.5	1	1	2	267	1651	1918	1	0	0	0	0	267	1651	1918	0.3523792026456	0	0	192	0.054468085106383	192	0.0352746647069631	0.909004739336493	1	1	2	0	0	0	2	1	0	1	0	0	0	1	600	1468	2068	0.589173789173789	1250	0.356125356125356	0.623267028330319	1	0	1	2	0.5	TRUE	TRUE	1	"2_a"	"right"	"2_b"	"left"	2006	1759	3765	1759	2006	0.532802124833997	"left"	"novel"
"01"	"M"	"293"	10	"Con3"	"NLOB"	"SOC"	"D1b"	7278	4105	0.661636363636364	2066	5807	7873	5283	2368	3692	6060	0.832646331409728	2368	2308	4676	0.642484198955757	825	0.850027267769496	0.113355317394889	3	2	5	3	2	5	0	0	0	1	0	2	0	2	500	816	1316	0.636979670861568	1266	0	1266	0.218012743240916	1766	816	2582	0.327956306363521	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	0	0	0	0	0	0	2525	783	3308	0.62615937914064	825	0.156161272004543	0.800387127994193	0	0	0	1	0	TRUE	TRUE	1	"15_a"	"right"	"15_b"	"left"	2267	1441	3708	1441	2267	0.611380798274002	"left"	"novel"
